entry,at,order
"The player ""Declan @ NsC2OJUPB3"" quits the game with a stack of 25.00.",2024-12-17T23:42:05.302Z,173447892530200
"The player ""Declan @ NsC2OJUPB3"" stand up with the stack of 25.00.",2024-12-17T23:41:51.303Z,173447891130300
"-- ending hand #324 --",2024-12-17T23:41:45.299Z,173447890529902
"""Declan @ NsC2OJUPB3"" collected 6.00 from pot with Two Pair, K's & J's (combination: K♣, K♠, J♠, J♣, 6♦)",2024-12-17T23:41:45.299Z,173447890529901
"""Declan @ NsC2OJUPB3"" shows a J♠, J♣.",2024-12-17T23:41:45.299Z,173447890529900
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:41:44.493Z,173447890449300
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:41:40.085Z,173447890008500
"River: K♣, 6♦, 4♠, K♠ [3♣]",2024-12-17T23:41:36.951Z,173447889695100
"""Declan @ NsC2OJUPB3"" calls 1.00",2024-12-17T23:41:36.119Z,173447889611900
"""Hanley2 @ LXzsz8PhQN"" bets 1.00",2024-12-17T23:41:34.631Z,173447889463100
"Turn: K♣, 6♦, 4♠ [K♠]",2024-12-17T23:41:29.091Z,173447888909100
"""Declan @ NsC2OJUPB3"" calls 1.00",2024-12-17T23:41:28.256Z,173447888825600
"""Hanley2 @ LXzsz8PhQN"" bets 1.00",2024-12-17T23:41:25.514Z,173447888551400
"Flop:  [K♣, 6♦, 4♠]",2024-12-17T23:41:10.519Z,173447887051900
"""Hanley2 @ LXzsz8PhQN"" calls 1.00",2024-12-17T23:41:09.686Z,173447886968600
"""Declan @ NsC2OJUPB3"" raises to 1.00",2024-12-17T23:41:02.389Z,173447886238900
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:40:56.641Z,173447885664105
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:40:56.641Z,173447885664104
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (48.31) | #2 ""Declan @ NsC2OJUPB3"" (22.00)",2024-12-17T23:40:56.641Z,173447885664101
"-- starting hand #324 (id: fanwnukmnvzu)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:40:56.641Z,173447885664100
"-- ending hand #323 --",2024-12-17T23:40:50.635Z,173447885063502
"""Hanley2 @ LXzsz8PhQN"" collected 1.20 from pot with Two Pair, A's & 2's (combination: A♥, A♣, 2♥, 2♠, 7♥)",2024-12-17T23:40:50.635Z,173447885063501
"""Hanley2 @ LXzsz8PhQN"" shows a 2♥, 2♠.",2024-12-17T23:40:50.635Z,173447885063500
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:40:49.828Z,173447884982800
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:40:48.329Z,173447884832900
"River: 6♥, 7♥, A♥, 5♣ [A♣]",2024-12-17T23:40:46.273Z,173447884627300
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:40:45.454Z,173447884545400
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:40:43.620Z,173447884362000
"Turn: 6♥, 7♥, A♥ [5♣]",2024-12-17T23:40:41.305Z,173447884130500
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:40:40.472Z,173447884047200
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:40:35.298Z,173447883529800
"Flop:  [6♥, 7♥, A♥]",2024-12-17T23:40:31.014Z,173447883101400
"""Declan @ NsC2OJUPB3"" calls 0.60",2024-12-17T23:40:30.208Z,173447883020800
"""Hanley2 @ LXzsz8PhQN"" raises to 0.60",2024-12-17T23:40:27.008Z,173447882700800
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:40:21.392Z,173447882139205
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:40:21.392Z,173447882139204
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (47.71) | #2 ""Declan @ NsC2OJUPB3"" (22.60)",2024-12-17T23:40:21.392Z,173447882139201
"-- starting hand #323 (id: vjhs3wc6nsu1)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:40:21.392Z,173447882139200
"""Hanley2 @ LXzsz8PhQN"" shows a J♣, Q♦.",2024-12-17T23:40:19.558Z,173447881955800
"-- ending hand #322 --",2024-12-17T23:40:14.782Z,173447881478202
"""Hanley2 @ LXzsz8PhQN"" collected 0.20 from pot",2024-12-17T23:40:14.782Z,173447881478201
"Uncalled bet of 0.10 returned to ""Hanley2 @ LXzsz8PhQN""",2024-12-17T23:40:14.782Z,173447881478200
"""Declan @ NsC2OJUPB3"" folds",2024-12-17T23:40:13.937Z,173447881393700
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:40:11.123Z,173447881112305
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:40:11.123Z,173447881112304
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (47.61) | #2 ""Declan @ NsC2OJUPB3"" (22.70)",2024-12-17T23:40:11.123Z,173447881112301
"-- starting hand #322 (id: jasjgiuxudvw)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:40:11.123Z,173447881112300
"-- ending hand #321 --",2024-12-17T23:40:05.110Z,173447880511002
"""Hanley2 @ LXzsz8PhQN"" collected 0.80 from pot with Three of a Kind, 2's (combination: 2♣, 2♠, 2♦, Q♠, 9♠)",2024-12-17T23:40:05.110Z,173447880511001
"""Hanley2 @ LXzsz8PhQN"" shows a 8♣, Q♠.",2024-12-17T23:40:05.110Z,173447880511000
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:40:04.271Z,173447880427100
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:40:02.096Z,173447880209600
"River: 2♣, 9♠, 7♥, 2♠ [2♦]",2024-12-17T23:39:56.741Z,173447879674100
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:39:55.900Z,173447879590000
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:39:53.889Z,173447879388900
"Turn: 2♣, 9♠, 7♥ [2♠]",2024-12-17T23:39:50.728Z,173447879072800
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:39:49.882Z,173447878988200
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:39:46.698Z,173447878669800
"Flop:  [2♣, 9♠, 7♥]",2024-12-17T23:39:43.780Z,173447878378000
"""Declan @ NsC2OJUPB3"" calls 0.40",2024-12-17T23:39:42.958Z,173447878295800
"""Hanley2 @ LXzsz8PhQN"" raises to 0.40",2024-12-17T23:39:41.874Z,173447878187400
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:39:39.093Z,173447877909305
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:39:39.093Z,173447877909304
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (47.21) | #2 ""Declan @ NsC2OJUPB3"" (23.10)",2024-12-17T23:39:39.093Z,173447877909301
"-- starting hand #321 (id: mg4haltbtzal)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:39:39.093Z,173447877909300
"-- ending hand #320 --",2024-12-17T23:39:33.079Z,173447877307902
"""Hanley2 @ LXzsz8PhQN"" collected 4.60 from pot with Two Pair, 9's & 5's (combination: 9♠, 9♦, 5♣, 5♥, Q♥)",2024-12-17T23:39:33.079Z,173447877307901
"""Hanley2 @ LXzsz8PhQN"" shows a 9♠, Q♥.",2024-12-17T23:39:33.079Z,173447877307900
"""Declan @ NsC2OJUPB3"" calls 0.20",2024-12-17T23:39:32.239Z,173447877223900
"""Hanley2 @ LXzsz8PhQN"" bets 0.20",2024-12-17T23:39:30.664Z,173447877066400
"River: J♦, 5♣, 9♦, 5♥ [8♠]",2024-12-17T23:39:29.426Z,173447876942600
"""Hanley2 @ LXzsz8PhQN"" calls 1.50",2024-12-17T23:39:28.612Z,173447876861200
"""Declan @ NsC2OJUPB3"" raises to 1.50",2024-12-17T23:39:27.183Z,173447876718300
"""Hanley2 @ LXzsz8PhQN"" bets 0.20",2024-12-17T23:39:23.796Z,173447876379600
"Turn: J♦, 5♣, 9♦ [5♥]",2024-12-17T23:39:22.620Z,173447876262000
"""Declan @ NsC2OJUPB3"" calls 0.20",2024-12-17T23:39:21.787Z,173447876178700
"""Hanley2 @ LXzsz8PhQN"" bets 0.20",2024-12-17T23:39:19.443Z,173447875944300
"Flop:  [J♦, 5♣, 9♦]",2024-12-17T23:39:15.556Z,173447875555600
"""Declan @ NsC2OJUPB3"" calls 0.40",2024-12-17T23:39:14.734Z,173447875473400
"""Hanley2 @ LXzsz8PhQN"" raises to 0.40",2024-12-17T23:39:13.101Z,173447875310100
"""Declan @ NsC2OJUPB3"" calls 0.20",2024-12-17T23:39:05.836Z,173447874583600
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:39:04.057Z,173447874405705
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:39:04.057Z,173447874405704
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (44.91) | #2 ""Declan @ NsC2OJUPB3"" (25.40)",2024-12-17T23:39:04.057Z,173447874405701
"-- starting hand #320 (id: tjir781gtcms)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:39:04.057Z,173447874405700
"""Declan @ NsC2OJUPB3"" shows a A♥, K♦.",2024-12-17T23:38:58.650Z,173447873865000
"-- ending hand #319 --",2024-12-17T23:38:57.436Z,173447873743602
"""Declan @ NsC2OJUPB3"" collected 0.20 from pot",2024-12-17T23:38:57.436Z,173447873743601
"Uncalled bet of 0.10 returned to ""Declan @ NsC2OJUPB3""",2024-12-17T23:38:57.436Z,173447873743600
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:38:56.596Z,173447873659600
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:38:46.325Z,173447872632505
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:38:46.325Z,173447872632504
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (45.01) | #2 ""Declan @ NsC2OJUPB3"" (25.30)",2024-12-17T23:38:46.325Z,173447872632501
"-- starting hand #319 (id: 00bolbqg9adu)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:38:46.325Z,173447872632500
"-- ending hand #318 --",2024-12-17T23:38:40.322Z,173447872032202
"""Declan @ NsC2OJUPB3"" collected 0.40 from pot",2024-12-17T23:38:40.322Z,173447872032201
"Uncalled bet of 0.40 returned to ""Declan @ NsC2OJUPB3""",2024-12-17T23:38:40.322Z,173447872032200
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:38:39.426Z,173447871942600
"""Declan @ NsC2OJUPB3"" bets 0.40",2024-12-17T23:38:35.774Z,173447871577400
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:38:30.278Z,173447871027800
"Flop:  [J♣, J♠, A♣]",2024-12-17T23:38:21.456Z,173447870145600
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:38:20.578Z,173447870057800
"""Declan @ NsC2OJUPB3"" calls 0.20",2024-12-17T23:38:18.827Z,173447869882700
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:38:17.096Z,173447869709605
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:38:17.096Z,173447869709604
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (45.21) | #2 ""Declan @ NsC2OJUPB3"" (25.10)",2024-12-17T23:38:17.096Z,173447869709601
"-- starting hand #318 (id: uwulvfbbbc8p)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:38:17.096Z,173447869709600
"-- ending hand #317 --",2024-12-17T23:38:11.090Z,173447869109002
"""Declan @ NsC2OJUPB3"" collected 12.40 from pot with Straight, J High (combination: J♣, 10♠, 9♣, 8♥, 7♦)",2024-12-17T23:38:11.090Z,173447869109001
"""Declan @ NsC2OJUPB3"" shows a 10♠, J♣.",2024-12-17T23:38:11.090Z,173447869109000
"""Hanley2 @ LXzsz8PhQN"" calls 3.00",2024-12-17T23:38:10.283Z,173447869028300
"""Declan @ NsC2OJUPB3"" bets 3.00",2024-12-17T23:38:05.636Z,173447868563600
"River: 10♣, 4♦, 7♦, 9♣ [8♥]",2024-12-17T23:37:58.958Z,173447867895800
"""Declan @ NsC2OJUPB3"" calls 2.00",2024-12-17T23:37:58.087Z,173447867808700
"""Hanley2 @ LXzsz8PhQN"" raises to 2.00",2024-12-17T23:37:56.409Z,173447867640900
"""Declan @ NsC2OJUPB3"" bets 1.00",2024-12-17T23:37:53.486Z,173447867348600
"Turn: 10♣, 4♦, 7♦ [9♣]",2024-12-17T23:37:48.398Z,173447866839800
"""Hanley2 @ LXzsz8PhQN"" calls 0.60",2024-12-17T23:37:47.578Z,173447866757800
"""Declan @ NsC2OJUPB3"" bets 0.60",2024-12-17T23:37:44.440Z,173447866444000
"Flop:  [10♣, 4♦, 7♦]",2024-12-17T23:37:38.444Z,173447865844400
"""Declan @ NsC2OJUPB3"" calls 0.60",2024-12-17T23:37:37.624Z,173447865762400
"""Hanley2 @ LXzsz8PhQN"" raises to 0.60",2024-12-17T23:37:34.393Z,173447865439300
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:37:31.725Z,173447865172505
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:37:31.725Z,173447865172504
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (51.41) | #2 ""Declan @ NsC2OJUPB3"" (18.90)",2024-12-17T23:37:31.725Z,173447865172501
"-- starting hand #317 (id: tg9pqaceomqf)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:37:31.725Z,173447865172500
"-- ending hand #316 --",2024-12-17T23:37:25.678Z,173447864567802
"""Declan @ NsC2OJUPB3"" collected 6.40 from pot with Two Pair, Q's & J's (combination: Q♣, Q♠, J♥, J♦, 9♦)",2024-12-17T23:37:25.678Z,173447864567801
"""Declan @ NsC2OJUPB3"" shows a Q♣, 9♦.",2024-12-17T23:37:25.678Z,173447864567800
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:37:24.838Z,173447864483800
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:37:16.537Z,173447863653700
"River: 5♦, J♥, 9♥, Q♠ [J♦]",2024-12-17T23:37:08.087Z,173447862808700
"""Declan @ NsC2OJUPB3"" calls 1.60",2024-12-17T23:37:07.262Z,173447862726200
"""Hanley2 @ LXzsz8PhQN"" bets 1.60",2024-12-17T23:36:59.318Z,173447861931800
"Turn: 5♦, J♥, 9♥ [Q♠]",2024-12-17T23:36:54.252Z,173447861425200
"""Declan @ NsC2OJUPB3"" calls 0.80",2024-12-17T23:36:53.438Z,173447861343800
"""Hanley2 @ LXzsz8PhQN"" bets 0.80",2024-12-17T23:36:51.422Z,173447861142200
"Flop:  [5♦, J♥, 9♥]",2024-12-17T23:36:46.843Z,173447860684300
"""Declan @ NsC2OJUPB3"" calls 0.80",2024-12-17T23:36:46.005Z,173447860600500
"""Hanley2 @ LXzsz8PhQN"" raises to 0.80",2024-12-17T23:36:43.229Z,173447860322900
"""Declan @ NsC2OJUPB3"" calls 0.20",2024-12-17T23:36:38.519Z,173447859851900
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:36:36.921Z,173447859692105
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:36:36.921Z,173447859692104
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (54.61) | #2 ""Declan @ NsC2OJUPB3"" (15.70)",2024-12-17T23:36:36.921Z,173447859692101
"-- starting hand #316 (id: nnjfe2rlevru)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:36:36.921Z,173447859692100
"-- ending hand #315 --",2024-12-17T23:36:31.002Z,173447859100202
"""Declan @ NsC2OJUPB3"" collected 0.40 from pot",2024-12-17T23:36:31.002Z,173447859100201
"Uncalled bet of 0.80 returned to ""Declan @ NsC2OJUPB3""",2024-12-17T23:36:31.002Z,173447859100200
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:36:30.185Z,173447859018500
"""Declan @ NsC2OJUPB3"" raises to 1.00",2024-12-17T23:36:27.897Z,173447858789700
"""Hanley2 @ LXzsz8PhQN"" calls 0.20",2024-12-17T23:36:25.025Z,173447858502500
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:36:17.496Z,173447857749606
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:36:17.496Z,173447857749605
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (54.81) | #2 ""Declan @ NsC2OJUPB3"" (15.50)",2024-12-17T23:36:17.496Z,173447857749602
"-- starting hand #315 (id: cfo9dqgtb3b1)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:36:17.496Z,173447857749601
"The player ""Spence @ cbvju-2iMm"" stand up with the stack of 134.11.",2024-12-17T23:36:17.496Z,173447857749600
"-- ending hand #314 --",2024-12-17T23:36:11.585Z,173447857158502
"""Declan @ NsC2OJUPB3"" collected 0.40 from pot",2024-12-17T23:36:11.585Z,173447857158501
"Uncalled bet of 0.80 returned to ""Declan @ NsC2OJUPB3""",2024-12-17T23:36:11.585Z,173447857158500
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:36:10.758Z,173447857075800
"""Spence @ cbvju-2iMm"" folds",2024-12-17T23:36:05.125Z,173447856512500
"""Declan @ NsC2OJUPB3"" raises to 1.00",2024-12-17T23:36:02.856Z,173447856285600
"""Hanley2 @ LXzsz8PhQN"" posts a big blind of 0.20",2024-12-17T23:35:58.629Z,173447855862907
"Dead Small Blind",2024-12-17T23:35:58.629Z,173447855862906
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (55.01) | #2 ""Declan @ NsC2OJUPB3"" (15.30) | #4 ""Spence @ cbvju-2iMm"" (134.11)",2024-12-17T23:35:58.629Z,173447855862902
"-- starting hand #314 (id: ty9k8nsvmfak)  (No Limit Texas Hold'em) (dealer: ""Spence @ cbvju-2iMm"") --",2024-12-17T23:35:58.629Z,173447855862901
"The player ""timh @ IDAaB_gryp"" quits the game with a stack of 0.00.",2024-12-17T23:35:58.629Z,173447855862900
"-- ending hand #313 --",2024-12-17T23:35:50.619Z,173447855061902
"""Spence @ cbvju-2iMm"" collected 6.89 from pot with Pair, K's on the second run  (combination: K♣, K♥, 8♦, 7♥, 6♦)",2024-12-17T23:35:50.619Z,173447855061901
"""Spence @ cbvju-2iMm"" collected 6.89 from pot with Two Pair, K's & 4's (combination: K♣, K♥, 4♠, 4♦, 9♦)",2024-12-17T23:35:50.619Z,173447855061900
"River (second run): 7♥, 4♣, 6♦, 8♦ [3♥]",2024-12-17T23:35:46.542Z,173447854654200
"Turn (second run): 7♥, 4♣, 6♦ [8♦]",2024-12-17T23:35:42.524Z,173447854252400
"Flop (second run):  [7♥, 4♣, 6♦]",2024-12-17T23:35:38.515Z,173447853851500
"River: 8♠, 3♠, 4♠, 9♦ [4♦]",2024-12-17T23:35:34.445Z,173447853444500
"Turn: 8♠, 3♠, 4♠ [9♦]",2024-12-17T23:35:30.437Z,173447853043700
"Flop:  [8♠, 3♠, 4♠]",2024-12-17T23:35:26.388Z,173447852638800
"""timh @ IDAaB_gryp"" shows a J♥, 10♥.",2024-12-17T23:35:22.366Z,173447852236601
"""Spence @ cbvju-2iMm"" shows a K♣, K♥.",2024-12-17T23:35:22.366Z,173447852236600
"All players in hand choose to run it twice.",2024-12-17T23:35:21.559Z,173447852155901
"""Spence @ cbvju-2iMm"" chooses to  run it twice.",2024-12-17T23:35:21.559Z,173447852155900
"""timh @ IDAaB_gryp"" chooses to  run it twice.",2024-12-17T23:35:21.475Z,173447852147500
"Remaining players decide whether to run it twice.",2024-12-17T23:35:20.250Z,173447852025001
"""Spence @ cbvju-2iMm"" calls 6.39",2024-12-17T23:35:20.250Z,173447852025000
"""Declan @ NsC2OJUPB3"" folds",2024-12-17T23:35:18.981Z,173447851898100
"""timh @ IDAaB_gryp"" raises to 6.39 and go all in",2024-12-17T23:35:08.164Z,173447850816400
"""Spence @ cbvju-2iMm"" raises to 1.80",2024-12-17T23:35:05.623Z,173447850562300
"""Declan @ NsC2OJUPB3"" raises to 1.00",2024-12-17T23:35:01.020Z,173447850102000
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:34:58.651Z,173447849865100
"""timh @ IDAaB_gryp"" posts a big blind of 0.20",2024-12-17T23:34:56.694Z,173447849669407
"""Spence @ cbvju-2iMm"" posts a small blind of 0.10",2024-12-17T23:34:56.694Z,173447849669406
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (55.01) | #2 ""Declan @ NsC2OJUPB3"" (16.30) | #4 ""Spence @ cbvju-2iMm"" (126.72) | #10 ""timh @ IDAaB_gryp"" (6.39)",2024-12-17T23:34:56.694Z,173447849669401
"-- starting hand #313 (id: echool1xaeqj)  (No Limit Texas Hold'em) (dealer: ""Declan @ NsC2OJUPB3"") --",2024-12-17T23:34:56.694Z,173447849669400
"-- ending hand #312 --",2024-12-17T23:34:50.779Z,173447849077902
"""Spence @ cbvju-2iMm"" collected 4.40 from pot",2024-12-17T23:34:50.779Z,173447849077901
"Uncalled bet of 3.30 returned to ""Spence @ cbvju-2iMm""",2024-12-17T23:34:50.779Z,173447849077900
"""timh @ IDAaB_gryp"" folds",2024-12-17T23:34:49.972Z,173447848997200
"""Spence @ cbvju-2iMm"" bets 3.30",2024-12-17T23:34:48.010Z,173447848801000
"Turn: 6♦, 7♠, 10♣ [5♦]",2024-12-17T23:34:28.598Z,173447846859800
"""Spence @ cbvju-2iMm"" calls 1.10",2024-12-17T23:34:27.735Z,173447846773500
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:34:26.317Z,173447846631700
"""timh @ IDAaB_gryp"" bets 1.10",2024-12-17T23:34:23.079Z,173447846307900
"""Spence @ cbvju-2iMm"" checks",2024-12-17T23:34:20.713Z,173447846071300
"Flop:  [6♦, 7♠, 10♣]",2024-12-17T23:34:15.980Z,173447845598000
"""Spence @ cbvju-2iMm"" calls 0.70",2024-12-17T23:34:15.160Z,173447845516000
"""Declan @ NsC2OJUPB3"" folds",2024-12-17T23:34:14.306Z,173447845430600
"""Hanley2 @ LXzsz8PhQN"" calls 0.70",2024-12-17T23:34:13.375Z,173447845337500
"""timh @ IDAaB_gryp"" raises to 0.70",2024-12-17T23:34:10.121Z,173447845012100
"""Spence @ cbvju-2iMm"" posts a big blind of 0.20",2024-12-17T23:34:07.477Z,173447844747707
"""Declan @ NsC2OJUPB3"" posts a small blind of 0.10",2024-12-17T23:34:07.477Z,173447844747706
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (55.71) | #2 ""Declan @ NsC2OJUPB3"" (16.40) | #4 ""Spence @ cbvju-2iMm"" (124.12) | #10 ""timh @ IDAaB_gryp"" (8.19)",2024-12-17T23:34:07.477Z,173447844747701
"-- starting hand #312 (id: v5sokrt2rpnv)  (No Limit Texas Hold'em) (dealer: ""Hanley2 @ LXzsz8PhQN"") --",2024-12-17T23:34:07.477Z,173447844747700
"-- ending hand #311 --",2024-12-17T23:34:01.424Z,173447844142402
"""Spence @ cbvju-2iMm"" collected 5.00 from pot with Pair, 7's (combination: 7♣, 7♠, 10♠, 9♠, 8♦)",2024-12-17T23:34:01.424Z,173447844142401
"""Spence @ cbvju-2iMm"" shows a 7♣, 8♦.",2024-12-17T23:34:01.424Z,173447844142400
"""timh @ IDAaB_gryp"" checks",2024-12-17T23:34:00.578Z,173447844057800
"""Spence @ cbvju-2iMm"" checks",2024-12-17T23:33:59.278Z,173447843927800
"River: 7♠, 2♥, 10♠, 4♣ [9♠]",2024-12-17T23:33:57.455Z,173447843745500
"""timh @ IDAaB_gryp"" checks",2024-12-17T23:33:56.622Z,173447843662200
"""Spence @ cbvju-2iMm"" checks",2024-12-17T23:33:54.915Z,173447843491500
"Turn: 7♠, 2♥, 10♠ [4♣]",2024-12-17T23:33:53.148Z,173447843314800
"""Declan @ NsC2OJUPB3"" folds",2024-12-17T23:33:52.282Z,173447843228200
"""timh @ IDAaB_gryp"" calls 1.50",2024-12-17T23:33:51.387Z,173447843138700
"""Spence @ cbvju-2iMm"" bets 1.50",2024-12-17T23:33:47.887Z,173447842788700
"""Declan @ NsC2OJUPB3"" checks",2024-12-17T23:33:45.273Z,173447842527300
"Flop:  [7♠, 2♥, 10♠]",2024-12-17T23:33:41.802Z,173447842180200
"""Spence @ cbvju-2iMm"" calls 0.60",2024-12-17T23:33:40.986Z,173447842098600
"""Declan @ NsC2OJUPB3"" calls 0.60",2024-12-17T23:33:39.826Z,173447841982600
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:33:37.373Z,173447841737300
"""timh @ IDAaB_gryp"" raises to 0.60",2024-12-17T23:33:36.042Z,173447841604200
"""Spence @ cbvju-2iMm"" checks",2024-12-17T23:33:30.004Z,173447841000400
"""Spence @ cbvju-2iMm"" posts a missed big blind of 0.20",2024-12-17T23:33:25.236Z,173447840523610
"""Spence @ cbvju-2iMm"" posts a missing small blind of 0.10",2024-12-17T23:33:25.236Z,173447840523609
"""Declan @ NsC2OJUPB3"" posts a big blind of 0.20",2024-12-17T23:33:25.236Z,173447840523608
"""Hanley2 @ LXzsz8PhQN"" posts a small blind of 0.10",2024-12-17T23:33:25.236Z,173447840523607
"Player stacks: #1 ""Hanley2 @ LXzsz8PhQN"" (55.81) | #2 ""Declan @ NsC2OJUPB3"" (17.00) | #4 ""Spence @ cbvju-2iMm"" (121.32) | #10 ""timh @ IDAaB_gryp"" (10.29)",2024-12-17T23:33:25.236Z,173447840523602
"-- starting hand #311 (id: wtnvdmf432eb)  (No Limit Texas Hold'em) (dealer: ""timh @ IDAaB_gryp"") --",2024-12-17T23:33:25.236Z,173447840523601
"The player ""Spence @ cbvju-2iMm"" joined the game with a stack of 121.32.",2024-12-17T23:33:25.236Z,173447840523600
"-- ending hand #310 --",2024-12-17T23:33:19.298Z,173447839929802
"""Declan @ NsC2OJUPB3"" collected 1.20 from pot",2024-12-17T23:33:19.298Z,173447839929801
"Uncalled bet of 1.00 returned to ""Declan @ NsC2OJUPB3""",2024-12-17T23:33:19.298Z,173447839929800
"""Hanley2 @ LXzsz8PhQN"" folds",2024-12-17T23:33:18.466Z,173447839846600
"""timh @ IDAaB_gryp"" folds",2024-12-17T23:33:16.946Z,173447839694600
"""Declan @ NsC2OJUPB3"" bets 1.00",2024-12-17T23:33:15.279Z,173447839527900
"""Hanley2 @ LXzsz8PhQN"" checks",2024-12-17T23:33:11.341Z,173447839134100
"""timh @ IDAaB_gryp"" checks",2024-12-17T23:33:09.195Z,173447838919500
"Flop:  [5♥, Q♥, 2♥]",2024-12-17T23:33:07.030Z,173447838703000
"""timh @ IDAaB_gryp"" calls 0.40",2024-12-17T23:33:06.192Z,173447838619200
"""Declan @ NsC2OJUPB3"" calls 0.40",2024-12-17T23:33:05.223Z,173447838522300
"""Hanley2 @ LXzsz8PhQN"" raises to 0.40",2024-12-17T23:33:03.458Z,173447838345800
